"","state","year","entered","entered.nkin","bent","went","cl","bcl","wcl","pl.pre.adopt","pl.foster.rel","pl.foster.non.rel","pl.grphome","pl.inst","pl.indliv","pl.awol","pl.trialvis","b.pl.pre.adopt","b.pl.foster.rel","b.pl.foster.non.rel","b.pl.grphome","b.pl.inst","b.pl.indliv","b.pl.awol","b.pl.trialvis","w.pl.pre.adopt","w.pl.foster.rel","w.pl.foster.non.rel","w.pl.grphome","w.pl.inst","w.pl.indliv","w.pl.awol","w.pl.trialvis","cg.reunify","cg.other.rel","cg.adopt","cg.long.fc","cg.emanc","cg.guard","cg.noplan","cg.na","b.cg.reunify","b.cg.other.rel","b.cg.adopt","b.cg.long.fc","b.cg.emanc","b.cg.guard","b.cg.noplan","b.cg.na","w.cg.reunify","w.cg.other.rel","w.cg.adopt","w.cg.long.fc","w.cg.emanc","w.cg.guard","w.cg.noplan","w.cg.na","prtjail","pop","whtpop","blkpop","child","blkchild","whtchild","adult","blkadult","whtadult","pov","childpov","blkpov","whtpov","blkchildpov","whtchildpov","unemp","whtunemp","blkunemp","emp","whtemp","blkemp","LessHS","wLessHS","bLessHS","kidskincare","wkidskincare","bkidskincare","kids2par","wkids2par","bkids2par","avgrent","incartot","new.incar","stname","police.ft.emp","police.tot.pay","welfare.ft.emp","welfare.tot.pay","cor.ft.emp","cor.tot.pay","edu.ft.emp","edu.tot.pay","drop","hosp.ft.emp","hosp.tot.pay","drop.1","tot.ft.emp","tot.tot.pay","statename","citi6010","inst6010_adacope","inst6010_nom","death.sent","death.pen","crime","food.insec","GSP","AFDCRec","SNAPRec","AFDCBen3","SNAPBen3","AFDCFS3Ben","Total.SSI","npoor","eitc.st","medicaidrec","WIC.par","NSLP.Total","SBP.Total","rpp"
"109",16,2002,1213,1068,14,992,3506,41,1808,141,280,1397,194,172,2,16,91,3,5,25,2,4,0,0,2,117,245,1048,158,146,2,11,81,1710,83,182,128,75,114,1,0,25,1,3,6,1,5,0,0,1361,58,152,93,63,80,1,0,0,1286570,1129785.66666667,4858.66666666667,368847.333333333,1943.33333333333,308646.333333333,917722.666666667,2915.33333333333,821139.333333333,167349.666666667,58087.3333333333,1672.33333333333,124681.666666667,834.333333333333,39357.6666666667,42066,34489.6666666667,5.66666666666667,599116.333333333,534787,1914,0.119117353810436,0.0923267912811769,0.106612513899129,17732.3333333333,12360.3333333333,122.666666666667,270788,231053,1268.66666666667,734.27754814652,5451,3063,"ID",2664,11530231.25,1729,6977371.25,2806,9442728.75,NA,NA,NA,NA,NA,"Total",65217,263702987.5,"Idaho",22.03794,9,9.443588,1,TRUE,42785,0.154,39190,2374,69998,366.25,445,649,597,147,0,152198,260080,147115,31378,0.9385
"110",17,2002,5973,3884,3189,2157,38303,22259,7518,4849,8198,10707,508,2159,2848,0,3056,3377,6205,7041,334,1460,2203,0,1635,1115,1461,2691,131,513,497,0,1110,7288,0,7913,759,8445,2913,5012,0,4033,0,5528,567,6360,2232,3539,0,2437,0,1838,129,1600,485,1029,0,9,12193228.6666667,8202095,1781692,3207042,581350,1882995,8986186.66666667,1200342,6319100,1393552.33333333,522022.333333333,483276.333333333,578376,224339.333333333,153825.666666667,451963.666666667,226948.333333333,136113.333333333,5853370,4222223,661806.666666667,0.139654273332459,0.0948856071610264,0.188028869709982,261855,80541.6666666667,120837,2096581,1447697.33333333,143645,908.917486668594,42693,34659,"IL",34053,190379496.25,20772,90241686.25,26750,118450830,NA,NA,NA,NA,NA,"Total",575582,2827593921.25,"Illinois",58.65016,32.78601,32.45493,6,TRUE,236692,0.089,514524,133708,886344,471.25,445,733,545,1594,0.05,1646484,124162,1090023,213617,1.008
"111",18,2002,5676,5093,1932,3449,18748,4949,7475,0,1616,6822,337,1617,78,57,2485,0,949,2537,91,544,24,29,753,0,633,3913,233,994,46,26,1595,6014,231,3321,444,1023,452,1587,0,2056,108,1556,156,356,185,532,0,3612,116,1662,273,606,242,964,0,500,5939591,5097547.66666667,477780,1544984.66666667,156015,1260511.66666667,4394606.33333333,321765,3837036,612944,218084,110740.333333333,429732.666666667,53521.3333333333,135050,178844,136765.666666667,28657,2925986.66666667,2568999.66666667,199526.666666667,0.14414613267975,0.13555940691839,0.159958698008199,89726.3333333333,57869.3333333333,22272.6666666667,1005947.33333333,892739.666666667,37699,754.986186908735,20349,14010,"IN",11414,52838522.5,6267,18491227.5,12886,46055886.25,NA,NA,NA,NA,NA,"Total",283829,1189391691.25,"Indiana",46.04554,63.37864,53.60234,4,TRUE,202974,0.108,215169,138885,410884,360,445,644,545,552,0,723166,63010,643464,123417,0.914
"112",19,2002,5821,5810,615,4068,16706,1251,7629,1327,48,4400,4049,696,198,167,0,213,8,532,413,38,27,20,0,831,33,3066,2905,551,130,113,0,4598,213,2052,485,73,65,3399,0,452,33,313,68,10,6,369,0,3395,145,1315,353,52,51,2318,0,256,2825664.33333333,2609601.33333333,60177.3333333333,713715.333333333,24081.6666666667,633979.666666667,2111949,36095.6666666667,1975621.66666667,284425.333333333,91461,20685,234302.666666667,10320.3333333333,69572.6666666667,72510.6666666667,62194.3333333333,4057.33333333333,1459399.66666667,1368757.33333333,22255.6666666667,0.102422490856759,0.0933200123454144,0.165626376504819,28771,21780.3333333333,3132,503669,468474.333333333,6180.66666666667,666.079311804831,8398,6206,"IA",5291,23874502.5,3707,14929157.5,4157,17245428.75,NA,NA,NA,NA,NA,"Total",147284,669768806.25,"Iowa",51.18152,59.957,55.21452,0,FALSE,99084,0.111,100534,53434,140729,532.5,445,782,545,267,0.07,271034,33448,380099,69747,0.895166666666667
"113",20,2002,2766,2272,449,2003,10666,1631,5502,395,1052,3410,474,470,127,153,1764,85,223,765,111,94,22,51,269,268,744,2307,309,334,93,82,1323,3837,14,2089,30,377,304,1034,0,643,4,641,2,60,83,149,0,2791,7,1263,21,285,206,783,0,136,2617520,2166828,150376.666666667,686110,49385,526568.666666667,1931410,100991.666666667,1640259.33333333,304108.333333333,101408.666666667,38102.6666666667,200862.666666667,16971,56226.6666666667,66387.6666666667,46703.3333333333,6963.66666666667,1330462.66666667,1139620.66666667,64991,0.10075031215023,0.0826613694489325,0.11192953886786,32761.6666666667,19170,4811.33333333333,476675,390680.333333333,17652.6666666667,734.503951922065,8967,4884,"KS",6037,26660918.75,3541,12338076.25,5928,20318121.25,NA,NA,NA,NA,NA,"Total",155270,624357260,"Kansas",31.22618,7,13.02975,2,TRUE,99949,0.132,92320,35808,140403,536.25,445,785,545,269,0.1,215194,57898,316260,84201,0.901333333333333
"114",21,2002,5250,4222,847,3901,16587,2256,8356,678,1769,6319,68,2342,124,0,37,181,283,1174,22,553,33,0,10,462,1348,4749,45,1637,88,0,27,5782,554,2528,595,661,46,1171,0,964,142,615,147,160,10,218,0,4423,379,1822,427,486,34,785,0,575,3951852,3533003.33333333,270912.333333333,967566,83287.3333333333,834433.666666667,2984286,187625,2698569.66666667,625198.333333333,200266,72193.3333333333,515303.666666667,32011.3333333333,153153.666666667,121388,100824.666666667,15929.6666666667,1794322,1618077.33333333,113841.666666667,0.217098590446423,0.218455552087664,0.184474368880561,66621.3333333333,51627,11531.6666666667,631743.666666667,579937,25344,638.028017391371,11583,8840,"KY",6799,28205992.5,7545,26399623.75,6706,20847546.25,NA,NA,NA,NA,NA,"Total",211554,761561178.75,"Kentucky",15.59486,24.93214,51.05207,1,TRUE,62512,0.123,123933,77658,450102,327.5,445,618,545,571,0,620790,113112,508526,196011,0.887833333333333
"115",22,2002,2974,2366,1631,1263,10799,4616,3054,13,1154,3822,662,1249,35,139,751,8,659,2298,370,730,22,98,431,5,480,1429,276,499,13,40,312,4713,206,1827,845,222,12,0,0,2742,132,1090,520,124,8,0,0,1865,69,709,311,96,4,0,0,115,4337260.33333333,2722514.66666667,1390991.33333333,1203659.66666667,478699.666666667,659608.333333333,3133600.66666667,912291.666666667,2062906.33333333,847347.333333333,338413.333333333,497726.333333333,307024.333333333,233038.333333333,89667,155317.333333333,67030.3333333333,80220.6666666667,1882344,1280580.33333333,504781,0.195241235990666,0.160901282588907,0.269169894533357,140794,42436,91731.3333333333,641745,465162.333333333,136996.666666667,675.888828318134,20010,15170,"LA",11839,42549410,5722,18875141.25,13399,45653297.5,NA,NA,NA,NA,NA,"Total",260543,911397581.25,"Louisiana",31.84331,37.6875,43.59677,7,TRUE,216395,0.141,141974,60704,588458,300,445,596,545,777,0,827767,129200,632139,234251,0.9115
"116",23,2002,850,750,28,552,4674,113,2837,412,175,2093,220,225,195,19,316,11,5,70,5,5,8,1,6,314,115,1575,161,156,155,14,218,1086,75,1123,726,364,10,127,0,34,2,42,13,7,0,5,0,722,52,840,621,293,10,87,0,53,1250304.66666667,1207150,5284.33333333333,284845.333333333,2547.66666666667,268872.333333333,965459.333333333,2736.66666666667,938277.666666667,134712.666666667,39588,2391.33333333333,124449,1583,34444.3333333333,36452,34809.3333333333,149,631893,616024.666666667,1347,0.11447094722155,0.113208777893643,0.292168027405984,11990.3333333333,10941,154.333333333333,191583.666666667,183692.333333333,938,741.269837016073,1855,1069,"ME",2223,10597466.25,2320,8355680,1794,8138555,NA,NA,NA,NA,NA,"Total",63986,256122497.5,"Maine",71.66331,76.27689,67.15327,0,FALSE,34281,0.099,40163,26039,111147,606.25,445,841,555,170,0.05,307490,21470,107618,28275,0.977
"117",24,2002,3563,2273,2278,1108,19034,11700,3350,700,5174,5274,1576,497,226,202,1636,526,4438,3724,1137,288,153,148,1157,158,656,1375,392,194,64,49,415,5415,2260,3182,2424,1660,110,420,0,3753,2016,2532,1927,1162,101,209,0,1453,212,592,455,443,9,186,0,451,5246927.66666667,3247619.66666667,1426832.33333333,1378115.66666667,431608.333333333,770416.666666667,3868812,995224,2477203,437897.333333333,156994.333333333,208528.333333333,176377.333333333,91656.3333333333,46596.3333333333,150035,59326.3333333333,73220.6666666667,2646845.33333333,1699782.66666667,670064,0.120261103440673,0.0984219423151479,0.154750783945561,126745.666666667,37406.3333333333,74400,874225.333333333,593348.666666667,158517,1008.09517671303,24114,10181,"MD",12493,72975865,9907,43808667.5,14441,65253700,NA,NA,NA,NA,NA,"Total",252771,1320870016.25,"Maryland",67.5706,97.5,85.30734,2,TRUE,261967,0.082,218842,64850,228329,590,445,828,545,400,0.5,625751,96153,426838,127774,1.1085
"118",25,2002,6555,5228,1372,3288,24613,3998,9048,781,2933,7274,1344,1605,677,616,2515,145,638,1709,311,336,185,158,449,395,1540,3309,752,924,371,222,1383,8320,0,3760,1982,2621,976,375,0,1670,0,809,516,648,263,82,0,4316,0,1730,984,1356,510,143,0,183,6165036.33333333,5043355.33333333,338553,1447119.66666667,106099.666666667,1084457,4717916.66666667,232453.333333333,3958898.33333333,549017,177268.666666667,69223.6666666667,315236.333333333,28961,75858.6666666667,174883.333333333,123986.333333333,17520.3333333333,3161528,2675947,149654,0.107346731778441,0.0877416586854053,0.151940044719829,83937,48917,13026.3333333333,990166,827599,39009,1088.23151976072,9879,1966,"MA",19879,120748928.75,8663,44070917.5,10082,50515773.75,NA,NA,NA,NA,NA,"Total",300526,1527859116.25,"Massachusetts",81.43717,64.92258,68.96371,0,FALSE,196298,0.067,303930,108068,242542,772.5,445,935,674,648,0.15,1001939,113176,541981,116119,1.07683333333333
"119",26,2002,10019,6656,4689,4719,41097,16395,13101,3210,8576,10629,107,3959,1037,811,2749,1546,5042,5541,40,1870,561,505,1290,1507,3118,4517,61,1881,437,262,1318,21045,1649,4320,2140,1839,85,0,0,10627,1016,2795,1008,911,38,0,0,9271,552,1357,1019,860,42,0,0,995,9740470,7667831,1344320.33333333,2530595,430184.333333333,1835060,7209875,914136,5832771,1064160.33333333,392748,331038.666666667,616729,154359.666666667,185857,344025.666666667,233147.333333333,82233.6666666667,4594080.66666667,3768487.66666667,522345.666666667,0.122546718829951,0.108341170441059,0.186249666184248,184418.666666667,82112.6666666667,77373.6666666667,1632449.66666667,1362854,108538.666666667,802.180472374314,50591,15045,"MI",20404,110817017.5,13477,64931728.75,24014,112542930,NA,NA,NA,NA,NA,"Total",428728,2278846637.5,"Michigan",58.16728,16.56097,21.17673,0,FALSE,385529,0.106,366022,201695,750037,573.75,445,815,559,1152,0,1226963,215989,826252,211056,0.947833333333333
"120",27,2002,10317,8934,2368,5781,28069,4290,9776,895,2625,7349,2152,4672,38,19,0,313,788,1713,315,1156,4,1,0,449,1188,4154,1424,2528,23,8,0,12473,505,1759,2179,0,24,812,0,2758,182,653,517,0,3,177,0,7006,186,811,1286,0,12,475,0,638,4834279.33333333,4247108,166225.666666667,1240758.66666667,64299.6666666667,1011066.66666667,3593520.66666667,101926,3236041.33333333,395918,140248,51034.3333333333,261322.666666667,26909,72917.6666666667,124207.666666667,94890.3333333333,11797,2605854,2361817,67165.6666666667,0.0887572539646953,0.0757760372152135,0.14894190017715,41825.6666666667,24615.6666666667,4338.66666666667,897608.333333333,782422.666666667,18445.6666666667,851.310587897784,6855,5280,"MN",8129,46797183.75,11436,56659380,8193,39216197.5,NA,NA,NA,NA,NA,"Total",229821,1222493467.5,"Minnesota",56.38896,56.88717,52.51974,0,FALSE,176359,0.077,206672,94584,216960,665,445,875,626,325,0.33,519480,102008,576121,118090,0.974333333333333
"121",28,2002,1582,847,776,650,5778,2240,1758,47,497,1531,946,8,0,9,75,24,254,862,491,6,0,5,38,22,227,608,422,2,0,4,35,1995,328,1042,109,336,279,42,0,950,214,567,73,219,164,17,0,915,100,456,36,108,106,21,0,27,2763482,1676797.66666667,1008150.33333333,766976.666666667,345024.666666667,396693.333333333,1996505.33333333,663125.666666667,1280104.33333333,552605.666666667,215803,358484.666666667,175885,158597.333333333,49647.3333333333,109066.333333333,41730,64121,1193902.66666667,803019.333333333,357552,0.212204515545705,0.160484209947973,0.315480033851095,104277.333333333,27943.6666666667,73398.3333333333,395722,282253,100322.666666667,638.99354994705,15355,5764,"MS",5946,20000690,3268,8351486.25,5638,14252687.5,NA,NA,NA,NA,NA,"Total",168111,543276852.5,"Mississippi",36.64326,71,70.00249,5,TRUE,94799,0.161,69619,40434,324852,212.5,445,526,545,513,0,582246,102272,397076,177700,0.864833333333333
"122",29,2002,7139,5480,1938,4914,26510,6485,12292,2859,4138,5919,209,2613,642,359,2632,1046,1718,1776,43,1105,274,202,321,1733,2337,3908,162,1443,350,146,2213,11486,272,4001,426,1569,1029,541,0,3038,105,1661,130,708,621,208,0,8053,158,2230,290,824,390,315,0,1013,5469211.33333333,4576412.33333333,604886.333333333,1404993.33333333,198926.666666667,1109236,4064218,405959.666666667,3467176.33333333,660079.666666667,240090.333333333,154844.666666667,453256.666666667,73111.6666666667,144079,147772.333333333,108276.333333333,28548.3333333333,2660134.66666667,2288411.33333333,243502.333333333,0.138713757832571,0.130639071569562,0.177113874430552,97158.6666666667,54970,31498.3333333333,897747.666666667,796577.333333333,47966.6666666667,731.708750348509,29795,17441,"MO",12688,55023992.5,10390,29116193.75,14181,39799691.25,NA,NA,NA,NA,NA,"Total",283291,1066182407.5,"Missouri",46.77213,26.30261,31.2303,2,TRUE,259968,0.115,197566,118753,515006,365,445,648,545,551,0,942395,128029,622416,177667,0.885166666666667
"123",30,2002,1306,832,34,721,4498,56,1837,0,1050,1630,460,52,0,0,0,0,12,36,8,0,0,0,0,0,559,931,311,36,0,0,0,1517,223,624,313,90,59,365,0,30,3,15,4,1,0,3,0,814,94,390,197,75,25,241,0,67,880368.333333333,789500.333333333,2100,220752.666666667,628,186604.333333333,659615.666666667,1472,602896,133921,47521.6666666667,577.333333333333,104590,253.333333333333,34169.3333333333,26860.3333333333,21034.6666666667,23,423043,390336.666666667,847.333333333333,0.0932499845850505,0.0860833404372699,0.119544945506983,12560.3333333333,7270.33333333333,46,152496.666666667,135541,30.6666666666667,648.09136916921,2870,1551,"MT",1491,6092685,1758,6515375,1483,4907431.25,NA,NA,NA,NA,NA,"Total",43853,178099448.75,"Montana",49.82409,14.155,19.01122,0,TRUE,22915,0.129,24144,16440,63347,617.5,445,848,545,122,0,79086,21402,77649,17443,0.943
